danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,song_name,artist_name
0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,85,CUFF IT,Beyoncé
0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,audio_features,7pv80uUHfocFqfTytu1MVi,spotify:track:7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/tracks/7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/audio-analysis/7pv80uUHfocFqfTytu1MVi,238733,4,73,Didn't Cha Know,Erykah Badu
0.396,0.244,0,-11.391,1,0.0355,0.725,8.29e-05,0.111,0.178,172.399,audio_features,3fKpSA5w8iqLe9sNdIDESW,spotify:track:3fKpSA5w8iqLe9sNdIDESW,https://api.spotify.com/v1/tracks/3fKpSA5w8iqLe9sNdIDESW,https://api.spotify.com/v1/audio-analysis/3fKpSA5w8iqLe9sNdIDESW,274790,4,76,Call Your Mom (with Lizzy McAlpine),Noah Kahan
0.712,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.112,0.268,122.964,audio_features,2Za1AlJNvksouPPWbXpR2X,spotify:track:2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/tracks/2Za1AlJNvksouPPWbXpR2X,https://api.spotify.com/v1/audio-analysis/2Za1AlJNvksouPPWbXpR2X,240507,4,75,Good Old Days (feat. Kesha),Macklemore
0.797,0.743,11,-6.005,1,0.174,0.164,1.2e-06,0.164,0.768,114.878,audio_features,0k0GtcnyQLMiXrdEDbLXmJ,spotify:track:0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/tracks/0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/audio-analysis/0k0GtcnyQLMiXrdEDbLXmJ,146685,4,87,Please Don't Change (feat. DJ Snake),Jung Kook
0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,audio_features,7zVCrzzEJU7u24sbJPXA5W,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,188253,4,75,What Ifs (feat. Lauren Alaina),Kane Brown
0.649,0.622,8,-7.054,1,0.0582,0.074,0.0,0.594,0.106,90.024,audio_features,5oqDgw5VGBln5dSIOPWyBq,spotify:track:5oqDgw5VGBln5dSIOPWyBq,https://api.spotify.com/v1/tracks/5oqDgw5VGBln5dSIOPWyBq,https://api.spotify.com/v1/audio-analysis/5oqDgw5VGBln5dSIOPWyBq,204852,4,75,Karma,Taylor Swift
0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,audio_features,3wKKkGVn7cVSfgPeYYIiXG,spotify:track:3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/tracks/3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/audio-analysis/3wKKkGVn7cVSfgPeYYIiXG,250667,3,74,Kiss Kiss (feat. T-Pain),Chris Brown
0.688,0.734,9,-4.569,1,0.0274,0.00462,0.0,0.0756,0.46,140.004,audio_features,2hns6Dv29Yrg68AVTJiAyA,spotify:track:2hns6Dv29Yrg68AVTJiAyA,https://api.spotify.com/v1/tracks/2hns6Dv29Yrg68AVTJiAyA,https://api.spotify.com/v1/audio-analysis/2hns6Dv29Yrg68AVTJiAyA,208493,4,77,Who Knew,P!nk
0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,audio_features,0r2Bul2NuCViraT2zX1l5j,spotify:track:0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j,https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j,334067,4,77,Get Low,Lil Jon & The East Side Boyz
0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012,audio_features,4mIHgQ3ofK2RK34UdbqMbe,spotify:track:4mIHgQ3ofK2RK34UdbqMbe,https://api.spotify.com/v1/tracks/4mIHgQ3ofK2RK34UdbqMbe,https://api.spotify.com/v1/audio-analysis/4mIHgQ3ofK2RK34UdbqMbe,143480,4,79,Ambition For Cash,Key Glock
0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3,83,If I Ain't Got You,Alicia Keys
0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,81,Crazy In Love (feat. Jay-Z),Beyoncé
0.656,0.584,5,-8.959,0,0.0524,0.544,5.51e-05,0.13,0.445,119.871,audio_features,33uKUpu9ZXsHhcxRLoxnWI,spotify:track:33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/tracks/33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/audio-analysis/33uKUpu9ZXsHhcxRLoxnWI,245629,4,74,I know it won't work,Gracie Abrams
0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,audio_features,6D60klaHqbCl9ySc8VcRss,spotify:track:6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/tracks/6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/audio-analysis/6D60klaHqbCl9ySc8VcRss,221947,4,68,Stronger (What Doesn't Kill You),Kelly Clarkson
0.419,0.817,2,-4.704,1,0.0468,0.0243,0.0,0.251,0.317,78.107,audio_features,5glU2EWqa5hpYqGPboSNjV,spotify:track:5glU2EWqa5hpYqGPboSNjV,https://api.spotify.com/v1/tracks/5glU2EWqa5hpYqGPboSNjV,https://api.spotify.com/v1/audio-analysis/5glU2EWqa5hpYqGPboSNjV,202600,4,74,Kid On Christmas (feat. Meghan Trainor),Pentatonix
