,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2011,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,audio_features,1G391cbiT3v3Cywg8T7DM1,spotify:track:1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/tracks/1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/audio-analysis/1G391cbiT3v3Cywg8T7DM1,215907,4
2012,0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,audio_features,6MtKObWYda2qnNIpJI21uD,spotify:track:6MtKObWYda2qnNIpJI21uD,https://api.spotify.com/v1/tracks/6MtKObWYda2qnNIpJI21uD,https://api.spotify.com/v1/audio-analysis/6MtKObWYda2qnNIpJI21uD,295293,4
2013,0.457,0.725,1,-5.979,1,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,audio_features,4l5w5qGInIhwfvpYmPIYdK,spotify:track:4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/tracks/4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/audio-analysis/4l5w5qGInIhwfvpYmPIYdK,174992,4
2014,0.415,0.404,4,-9.331,1,0.0393,0.678,1.95e-05,0.28,0.425,81.202,audio_features,3itgPtXSu4I9mr2QD6yrzP,spotify:track:3itgPtXSu4I9mr2QD6yrzP,https://api.spotify.com/v1/tracks/3itgPtXSu4I9mr2QD6yrzP,https://api.spotify.com/v1/audio-analysis/3itgPtXSu4I9mr2QD6yrzP,216027,4
2015,0.444,0.627,7,-8.744,0,0.252,0.123,0.0,0.0795,0.359,98.21,audio_features,0m1KYWlT6LhFRBDVq9UNx4,spotify:track:0m1KYWlT6LhFRBDVq9UNx4,https://api.spotify.com/v1/tracks/0m1KYWlT6LhFRBDVq9UNx4,https://api.spotify.com/v1/audio-analysis/0m1KYWlT6LhFRBDVq9UNx4,206627,3
2016,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,audio_features,6Knv6wdA0luoMUuuoYi2i1,spotify:track:6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/tracks/6Knv6wdA0luoMUuuoYi2i1,https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1,192191,4
2017,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,audio_features,1F6IbA7di42uPc3cff8PXV,spotify:track:1F6IbA7di42uPc3cff8PXV,https://api.spotify.com/v1/tracks/1F6IbA7di42uPc3cff8PXV,https://api.spotify.com/v1/audio-analysis/1F6IbA7di42uPc3cff8PXV,123884,4
2018,0.571,0.567,8,-6.873,1,0.0994,0.431,0.0,0.129,0.967,165.332,audio_features,1RGlfmdvcfatN0ZLOmzanS,spotify:track:1RGlfmdvcfatN0ZLOmzanS,https://api.spotify.com/v1/tracks/1RGlfmdvcfatN0ZLOmzanS,https://api.spotify.com/v1/audio-analysis/1RGlfmdvcfatN0ZLOmzanS,196500,3
2019,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,audio_features,1NZs6n6hl8UuMaX0UC0YTz,spotify:track:1NZs6n6hl8UuMaX0UC0YTz,https://api.spotify.com/v1/tracks/1NZs6n6hl8UuMaX0UC0YTz,https://api.spotify.com/v1/audio-analysis/1NZs6n6hl8UuMaX0UC0YTz,351640,4
2020,0.836,0.826,11,-2.66,0,0.0461,0.213,6.03e-06,0.0814,0.579,102.025,audio_features,1aUq8rjW1EwkAkMri4VfJy,spotify:track:1aUq8rjW1EwkAkMri4VfJy,https://api.spotify.com/v1/tracks/1aUq8rjW1EwkAkMri4VfJy,https://api.spotify.com/v1/audio-analysis/1aUq8rjW1EwkAkMri4VfJy,197101,4
2021,0.65,0.574,11,-10.3,0,0.101,0.396,0.000112,0.354,0.441,83.963,audio_features,2Ggr9IfS70wYQacW8nZKPG,spotify:track:2Ggr9IfS70wYQacW8nZKPG,https://api.spotify.com/v1/tracks/2Ggr9IfS70wYQacW8nZKPG,https://api.spotify.com/v1/audio-analysis/2Ggr9IfS70wYQacW8nZKPG,237745,4
