,popularity,song_name,artist_name
135,80,10 Freaky Girls (with 21 Savage),Metro Boomin
136,76,Love Lies (with Normani),Khalid
137,72,Never Be Like You (feat. Kai),Flume
138,72,Note to Self,Randy Houser
139,80,Tongue Tied,GROUPLOVE
140,82,Overdue (with Travis Scott),Metro Boomin
141,76,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons
142,70,Can’t Take A Joke,Drake
143,76,The Christmas Waltz - Remastered 1999,Frank Sinatra
144,80,Even Flow,Pearl Jam
145,81,En Paris,El Chachito
146,68,Orange Juice,Noah Kahan
147,83,Beauty And A Beat,Justin Bieber
148,77,Empty,Juice WRLD
149,74,Breezeblocks,alt-J
150,70,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville
151,79,She Knows (feat. Amber Coffman & Cults),J. Cole
152,69,Judith,A Perfect Circle
153,72,Juicy,Doja Cat
154,72,Better Together,Jack Johnson
155,72,"Heads Carolina, Tails California",Jo Dee Messina
156,78,Instant Crush (feat. Julian Casablancas),Daft Punk
157,79,Corazón Frío,Jasiel Nuñez
158,80,Los Botones Azules,Junior H
159,84,Mirrors,Justin Timberlake
160,68,JAPAN,Famous Dex
161,70,Passing Through (Can't the Future Just Wait),Kaden MacKay
162,77,Conversations,Juice WRLD
163,73,Wild as You,Cody Johnson
164,80,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
165,73,I’m Just Ken,Ryan Gosling
166,79,OUT WEST (feat. Young Thug),JACKBOYS
167,83,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
168,74,Save Me,Jelly Roll
169,69,Someone Like You (feat. Joy Oladokun),Noah Kahan
170,78,Se Amerita,Junior H
171,82,Maneater,Daryl Hall & John Oates
172,71,Just Might (with PARTYNEXTDOOR),Summer Walker
173,87,Attention,Charlie Puth
174,69,Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel
175,72,Juice,Lizzo
176,68,Ain't Doin' Jack,Josh Ross
177,72,One (Remastered),Metallica
178,80,Goodbye Yellow Brick Road - Remastered 2014,Elton John
179,79,Ella,Junior H
180,83,She Will Be Loved - Radio Mix,Maroon 5
181,72,Daylight,Watchhouse
182,74,Gettin' Jiggy Wit It,Will Smith
183,5,O Bedardeya (Jhankar Beat),Pritam
184,76,Black & White,Juice WRLD
185,76,"Hold On, We're Going Home",Drake
186,78,Man With The Bag,Jessie J
187,85,Shot Glass of Tears,Jung Kook
188,81,Sucker,Jonas Brothers
189,72,Birthday Sex,Jeremih
190,77,Ojos Verdes,Julión Álvarez y su Norteño Banda
191,76,Persona Ideal - Me Tengo Que Ir,Adolescent's Orquesta
192,67,Go With The Flow,Queens of the Stone Age
193,70,Siempre Te Voy A Querer,Calibre 50
194,72,Que Me Importa,Natanael Cano
195,75,HACIENDO QUE ME AMAS,Bad Bunny
196,68,To The Bone (feat. YoungBoy Never Broke Again),Quavo
197,75,Quién Como Tú,Ana Gabriel
198,69,Question!,System Of A Down
199,65,Ando Más Que Mal,Eslabon Armado
200,66,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
201,0,Hymn for the Weekend,Coldplay
202,70,Cada Quien,Grupo Firme
203,62,"Quiet, Heavy Dreams",Zach Bryan
204,82,VISTA AL MAR,Quevedo
205,68,Cosas Buenas Que Parecen Malas,Los Rehenes
206,66,QUE DIABLOS HICE (INTERLUDE),Eslabon Armado
207,68,Que Te Vaya Bien,Grupo Jalado
208,70,Te Quiero,Los Temerarios
209,74,I'M THAT GIRL,Beyoncé
210,68,Que Se Yo,La Santa Grifa
211,68,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Quality Control
212,68,"Quiet, Listen",Dropletecal
213,0,Quero um TBT - Sped Up,MC Ryan SP
214,1,Quero um TBT - Sped Up,MC Ryan SP
215,0,Quero um TBT - Sped Up,MC Ryan SP
216,67,White Walls (feat. ScHoolboy Q & Hollis),Macklemore & Ryan Lewis
