,popularity,song_name,artist_name
589,83,WHERE SHE GOES,Bad Bunny
590,82,Hasta Que Dios Diga,Anuel AA
591,79,Ella Quiere Beber - Remix,Anuel AA
592,83,NADIE SABE,Bad Bunny
593,80,No Diggity,Blackstreet
594,79,GANGSTER (PQFNEDG),Ovy On The Drums
595,82,LOS PITS,Bad Bunny
596,73,November Air,Zach Bryan
597,77,It Almost Worked,TV Girl
598,83,THUNDER Y LIGHTNING,Bad Bunny
599,71,killer queen,Mad Tsai
600,84,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21
601,77,Barracuda,Heart
602,68,No Me Quise Ir,Ivan Cornejo
603,78,Mi Terre CLN,Fuerza Regida
604,82,GRACIAS POR NADA,Bad Bunny
605,74,Di Que Si,Grupo Marca Registrada
606,76,Devil Eyes,ZODIVK
607,73,Love Like This,ZAYN
608,72,残響散歌,Aimer
609,65,Zumba (feat. Yomel El Meloso & Tivi Gunz),Luigui Bleand
610,68,Electric Drops,Zinan
611,65,Not Worth It,ZillaKami
612,75,Time,Hans Zimmer
613,70,anatomy,kenzie
614,68,115,Elena Siegman
615,71,Beautiful Now,Zedd
616,63,Oklahoma City,Zach Bryan
617,59,Mega Zeph,$uicideboy$
618,65,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",DJ Khaled
619,68,On Fye,The Simps
620,56,Comfort Zone,Jelly Roll
621,66,So Appalled,Kanye West
622,71,"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore
623,69,Rain Dancing,Zuni
624,78,Si Se Da - Remix,Myke Towers
625,64,LIFE SUCKS SO WE FUCK (feat. ZillaKami),Night Lovell
626,78,Can't Tame Her,Zara Larsson
627,75,Mwaki,Zerb
628,61,Zoom Zoom Zoom! We're Going to the Moon!,Vicky Arlidge
629,60,Money Ain't a Thang (feat. Jay-Z),Jermaine Dupri
630,64,Rescue Story,Zach Williams
631,66,Say My Name,ODESZA
632,62,Rain Zone,Washy Wonka
633,72,03' Bonnie & Clyde,JAY-Z
634,62,Hood Nigga,Gorilla Zoe
635,63,Whiskey Fever,Zach Bryan
636,63,Zeus (feat. White Gold),Eminem
637,64,Rainfall Retreat: Zen in Your Ears,Lush Rain Creators
638,64,Loving You Easy,Zac Brown Band
639,67,D'yer Mak'er - Remaster,Led Zeppelin
640,63,Highway 20 Ride,Zac Brown Band
641,65,Never Let Me Down,Kanye West
642,72,Weightless,Marconi Union
643,65,Hey Mr. D.J.,Zhané
644,72,Moonage Daydream - 2012 Remaster,David Bowie
645,64,Can I Get A...,JAY-Z
646,66,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo
647,56,In My Zone,Rittz
648,61,Not Myself (feat. Zuzu),Adventure Time
649,70,my fault,Zeph
650,1,Numb / Encore,JAY-Z
651,82,On My Love,Zara Larsson
652,67,Young Forever,JAY-Z
653,50,Burn MF (feat. Rob Zombie),Five Finger Death Punch
654,67,Two Twelve Subwoofer,99zed
655,58,Off Da Zoinkys,JID
656,71,Banana Pancakes,Jack Johnson
657,65,Jordan Belfort,Wes Walker
658,79,Tiny Dancer,Elton John
659,77,O Little Town of Bethlehem,Elvis Presley
660,70,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship
661,80,Otra vez (feat. J Balvin),Zion & Lennox
662,71,Jealous,Nick Jonas
663,66,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
664,78,I Don't Care (with Justin Bieber),Ed Sheeran
665,2,Jingle Bells,Michael Bublé
666,0,Jingle Bells,Michael Bublé
667,78,First Date,blink-182
668,71,Astrovan,Mt. Joy
669,81,What A Time (feat. Niall Horan),Julia Michaels
670,74,The Worst,Jhené Aiko
671,72,Hey Joe,Jimi Hendrix
672,69,lil jeep,Lil Peep
673,68,japan,Yot Club
674,67,Jamie All Over,Mayday Parade
675,0,Holly Jolly Christmas,Michael Bublé
676,0,Holly Jolly Christmas,Michael Bublé
677,73,Beware,Big Sean
678,67,Short Skirt / Long Jacket,CAKE
679,65,Late July,Zach Bryan
680,74,Christmas Dreaming by the Fireplace,Henry Janzen
681,75,Sleigh Ride,Roddy Doyle Trio
682,68,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville
683,70,How Do U Want It (ft. K-Ci & JoJo),2Pac
684,0,Baby Don't Hurt Me - Joel Corry Remix,David Guetta
685,72,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion
686,66,Jamie (feat. Charles Wesley Godwin),Zach Bryan
687,80,Bang Bang,Jessie J
688,76,Where Are Ü Now (with Justin Bieber),Jack Ü
689,73,Just the Way You Are,Billy Joel
690,77,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
691,76,Cigarettes,Juice WRLD
692,76,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
693,75,They Don't Love It,Jack Harlow
694,0,Holly Jolly Christmas,Michael Bublé
695,0,Holly Jolly Christmas,Michael Bublé
696,0,Holly Jolly Christmas,Michael Bublé
697,68,Let's Go (feat. Twista & Lil' Jon),Trick Daddy
698,72,MOVE (feat. Grace Jones & Tems),Beyoncé
699,69,Pride and Joy,Stevie Ray Vaughan
700,80,Pop Out (feat. Lil Tjay),Polo G
701,81,FourFiveSeconds,Rihanna
702,77,Hit the Road Jack,Ray Charles
703,65,Hey Jealousy,Gin Blossoms
704,68,I'll Be Home for Christmas (feat. Jonathan Groff),Lea Michele
705,72,She Knows,Ne-Yo
706,77,Sleigh Ride,Carpenters
707,86,Stay With Me,Sam Smith
708,76,Follow You To Virgie (OurVinyl Sessions),Tyler Childers
709,85,Empire State Of Mind,JAY-Z
710,77,She Had Me At Heads Carolina,Cole Swindell
711,79,invisible string,Taylor Swift
712,85,...Ready For It?,Taylor Swift
713,81,Glue Song,beabadoobee
714,83,Satellite,Harry Styles
715,77,Sleeping on the Blacktop,Colter Wall
716,80,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin
717,79,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg
718,76,Flower Shops (feat. Morgan Wallen),ERNEST
719,83,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani
720,87,ceilings,Lizzy McAlpine
721,83,a lot,21 Savage
722,83,We Ride,Bryan Martin
723,83,One More Sleep,Leona Lewis
724,79,Save That Shit,Lil Peep
725,77,ROLLING STONE,Brent Faiyaz
726,84,You Shook Me All Night Long,AC/DC
727,80,Savior,Rise Against
728,86,Sweet but Psycho,Ava Max
729,86,The Man,Taylor Swift
730,85,Otherside,Red Hot Chili Peppers
731,75,Street Runner,Rod Wave
732,85,Joy To The World,Nat King Cole
733,82,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky
734,89,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez
735,83,Mrs Magic,Strawberry Guy
736,78,Sorrows,Bryson Tiller
737,87,In The Stars,Benson Boone
738,85,Nobody Gets Me,SZA
739,84,Christmas (Baby Please Come Home),Darlene Love
740,84,Pure Cocaine,Lil Baby
741,88,A Sky Full of Stars,Coldplay
742,79,Soak City (Do it),310babii
743,79,Say It,Tory Lanez
744,87,My Only Wish (This Year),Britney Spears
745,79,Pussy & Millions (feat. Travis Scott),Drake
746,85,Lavender Haze,Taylor Swift
747,84,Bad Habit,Steve Lacy
748,78,Super Rich Kids,Frank Ocean
749,71,Become the Warm Jets,Current Joys
750,79,Face Down,The Red Jumpsuit Apparatus
751,57,Let Me Calm Down (feat. J. Cole),Nicki Minaj
752,4,Jaadui (Jhankar Beat),Pritam
753,79,La Jumpa,Arcángel
754,89,Holanda,Jhayco
755,80,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
756,77,"10,000 Hours (with Justin Bieber)",Dan + Shay
757,69,"Check Yes, Juliet",We The Kings
758,70,JERK!,jnhygs
759,77,Kevin’s Heart,J. Cole
760,72,WHAT JUST HAPPENED,The Kid LAROI
761,82,Jungle,Alok
762,68,Just Like You,Three Days Grace
763,0,Bad Habits - Joel Corry Remix,Ed Sheeran
764,73,Jeremy,Pearl Jam
765,77,If the World Was Ending (feat. Julia Michaels),JP Saxe
766,0,The Joker and the Queen,Ed Sheeran
767,0,The Joker and the Queen,Ed Sheeran
768,0,The Joker and the Queen,Ed Sheeran
769,75,Call Me Maybe,Carly Rae Jepsen
770,0,The Joker and the Queen,Ed Sheeran
771,0,The Joker and the Queen,Ed Sheeran
772,87,Skin de Bandida,Oscar Maydon
773,75,Rather Be (feat. Jess Glynne),Clean Bandit
774,82,this is what falling in love feels like,JVKE
775,83,golden hour,JVKE
776,79,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe
777,86,TOO MUCH,The Kid LAROI
778,80,worldstar money (interlude),Joji
779,67,Thinking with My Dick (feat. Juicy J),Kevin Gates
780,75,Tucson Too Late,Jordan Davis
781,84,Hype Boy,NewJeans
782,90,ELOVRGA,Alex Favela
783,72,Stay Calm (feat. Jeff Burgess),Griffinilla
784,76,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black
785,79,WHATS POPPIN,Jack Harlow
786,72,Jealous - Remix,Nick Jonas
787,79,9 to 5,Dolly Parton
788,72,Run Through The Jungle,Creedence Clearwater Revival
789,81,$AD BOYZ II,Junior H
790,78,Hide (feat. Seezyn),Juice WRLD
791,82,Your Song,Elton John
792,0,Just the Way You Are,Bruno Mars
793,0,Just the Way You Are,Bruno Mars
794,0,Just the Way You Are,Bruno Mars
795,72,Take The Money And Run,Steve Miller Band
796,79,Me And My Broken Heart,Rixton
797,75,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator"
798,72,Hellcats & Trackhawks,Only The Family
799,79,"Me, Myself & I",G-Eazy
800,73,Glizock & Wizop (feat. Key Glock),Gucci Mane
801,76,Bad and Boujee (feat. Lil Uzi Vert),Migos
802,74,E. Coli (feat. Earl Sweatshirt),The Alchemist
803,80,Smells Like Teen Spirit,Nirvana
804,73,Armed & Dangerous,King Von
805,75,Upset (feat. Tommy Richman & FELIX!),Brent Faiyaz
806,73,The Devil Wears a Suit and Tie,Colter Wall
807,74,Ramen & OJ,Joyner Lucas
808,78,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan
809,80,Winter Wonderland - Remastered 2006,Bing Crosby
810,79,Country Girl (Shake It For Me),Luke Bryan
811,74,Fire and Rain - 2019 Remaster,James Taylor
812,74,Me and the Birds,Duster
813,75,Umbrella (with 21 Savage & Young Nudy),Metro Boomin
814,78,Black and Yellow,Wiz Khalifa
815,81,Him & I (with Halsey),G-Eazy
816,79,Nothing You Can Take From Me (Boot-Stompin' Version) - from The Hunger Games: The Ballad of Songbirds & Snakes,Rachel Zegler
817,86,One Kiss (with Dua Lipa),Calvin Harris
818,74,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
819,74,You and I,d4vd
820,81,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM
821,74,welcome and goodbye,"Dream, Ivory"
822,76,Piensa En Mí,Grupo Mojado
823,81,Scream & Shout,will.i.am
824,81,Beauty And A Beat,Justin Bieber
825,77,The First Noël,Andy Williams
826,77,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug
827,70,Hippies and Cowboys,Cody Jinks
828,76,Mary Jane's Last Dance,Tom Petty and the Heartbreakers
829,76,Hrs & Hrs,Muni Long
830,78,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky
831,69,Wait and Bleed,Slipknot
832,84,Better Now,Post Malone
833,76,Slow Jamz,Twista
834,73,Fire & Desire,Drake
835,74,And This is Just The Intro,Tory Lanez
836,82,California Dreamin' - Single Version,The Mamas & The Papas
837,83,Step Into Christmas - Remastered 1995,Elton John
838,70,Fear and Friday's (Poem),Zach Bryan
839,75,Dang! (feat. Anderson .Paak),Mac Miller
840,64,La Quebradora,Banda El Recodo
841,63,Ahora Que Puedo,Los Inquietos Del Norte
842,62,Donde Quiera Que Estés,Tierra Cali
843,72,Igual Que Ayer,R.K.M & Ken-Y
844,67,Qué No Daría,Cardenales De Nuevo León
845,0,Quem Traiu Levou - Ao Vivo,Gusttavo Lima
846,0,Quem Traiu Levou - Ao Vivo,Gusttavo Lima
847,63,96 Quite Bitter Beings,CKY
848,64,Smoke,Xavier Wulf
849,69,Y yo que te amo,Banda Pequeños Musical
850,71,CHURCH GIRL,Beyoncé
851,68,AMERICAN HORROR SHOW,SNOW WIFE
852,65,Quiet Eyes,Davignon
853,68,Para Qué Lastimarme,Gerardo Ortiz
854,65,San Quentin,Nickelback
855,59,Queen Of My Double Wide Trailer,Sammy Kershaw
856,66,TOP DEAD CENTER,Xavier Wulf
857,62,Laid Back,Quin Nfn
858,69,Qué Caro Estoy Pagando,Los Plebes del Rancho de Ariel Camacho
859,72,Corazon De Seda (feat. Ozuna),Klasico
860,66,Que Esta Pasando,Fuerza Regida
861,75,Fuentes De Ortiz,Julión Álvarez y su Norteño Banda
862,62,2's and 4's,Quin Nfn
863,71,ANTES QUE SE ACABE,Bad Bunny
864,69,Feel It,Jacquees
865,66,Feeling Myself,Nicki Minaj
866,62,En Barranquilla Me Quedo,Joe Arroyo
867,80,LAS QUE NO TIENEN PAPÁ,Dani Flow
868,69,Que Te Vas,T3R Elemento
869,58,No Querías Lastimarme,Gloria Trevi
870,79,QUÉ ROLLITO PRIMAVERA,Dani Flow
871,62,Como Te Quiero Yo,Kali Uchis
872,72,Mi Mayor Necesidad,Los Bukis
873,0,Quem vai patrocinar?,Mc IG
874,53,Te Quiero Así (En Vivo),Luis R Conriquez
875,73,DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott
876,74,Yo Sé Que Tú Quieres,Sammy & Falsetto
877,72,Solo Con Verte,Banda MS de Sergio Lizárraga
878,62,Quarterback,Wallows
879,76,Querer Querernos,Canserbero
880,66,Que Vuelva,Alex Bueno
881,68,Una Banda Y Un Corrido,Los Rehenes
882,73,"Te Quiero Tanto, Tanto",Onda Vaselina
883,74,Run the World (Girls),Beyoncé
884,62,Glizzy,Quin Nfn
885,67,Los Que Son,Chris Jedi
886,66,FLIP THE SWITCH (feat. Drake),Quavo
887,63,QUARTER LIFE CRISIS,Taylor Bickett
888,74,Que Sepas,Alfredo Olivas
889,76,¡Corre!,Jesse & Joy
890,71,Rock N Roll,Ken Carson
891,77,It's Beginning To Look A Lot Like Christmas,Bing Crosby
892,74,I'll Be Home For Christmas - Single Version,Bing Crosby
893,70,Basement Jack,Steve Lacy
894,73,whoa (mind in awe),XXXTENTACION
895,74,"Yo x Ti, Tu x Mi",ROSALÍA
896,75,masquerade,siouxxie sixxsta
897,73,Hark! The Herald Angels Sing/It Came Upon A Midnight Clear - Medley / Remastered 2006,Bing Crosby
898,69,Pain,Three Days Grace
899,80,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
900,80,Back for More (with Anitta),TOMORROW X TOGETHER
901,76,New Flame (feat. Usher & Rick Ross),Chris Brown
902,68,Deeper Than the Holler,Randy Travis
903,77,Sin Pagar Renta,Xavi
904,78,Old Town Road - Remix,Lil Nas X
905,78,Sugar Rush Ride,TOMORROW X TOGETHER
906,78,If You Leave Me Now,Chicago
907,78,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry
908,75,LEFT RIGHT,XG
909,72,Te Extraño - Bachata Version,Xtreme
910,70,before I close my eyes,XXXTENTACION
911,73,Party Up,DMX
912,71,Floor 555,XXXTENTACION
913,71,vice city,XXXTENTACION
914,69,Only If,Steve Lacy
915,67,Akina Speed Star,Xavier Wulf
916,67,Thinking out Loud,Ed Sheeran
917,78,In The City,Charli XCX
918,77,Happily Ever After,TOMORROW X TOGETHER
919,73,Adeste Fideles,Bing Crosby
920,79,BAIXO,xxanteria
921,78,What's The Difference,Dr. Dre
922,70,Betrayed,Lil Xan
923,69,Fancy,Iggy Azalea
924,66,Happy Xmas (War Is Over),John Legend
925,68,10x Stronger,Dominic Fike
926,76,PUPPET SHOW,XG
927,69,Styrofoam,$uicideboy$
928,71,Depression & Obsession,XXXTENTACION
929,78,Otra Noche en Miami,Bad Bunny
930,74,Hot In It (feat. Charli XCX),Tiësto
931,81,Merry Xmas Everybody,Slade
932,60,SUPER XXL,Heembeezy
933,69,Taco Truck x VB,Lana Del Rey
934,80,Ojo X Ojo,Kenia OS
935,66,Mobile Suit Woe,Xavier Wulf
936,75,Guatauba,Plan B
937,69,Time of Dying,Three Days Grace
938,90,bad idea right?,Olivia Rodrigo
939,87,Jingle Bells - Remastered 1999,Frank Sinatra
940,84,Dawns (feat. Maggie Rogers),Zach Bryan
941,90,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney
942,95,vampire,Olivia Rodrigo
943,86,Please Come Home for Christmas - 2013 Remaster,Eagles
944,83,Wild Ones (feat. Jelly Roll),Jessie Murph
945,90,La Bebe - Remix,Yng Lvcas
946,83,Search & Rescue,Drake
947,91,Happy Xmas (War Is Over) - Remastered 2010,John Lennon
948,90,The Real Slim Shady,Eminem
949,85,Underneath the Tree,Kelly Clarkson
950,95,HARLEY QUINN,Fuerza Regida
951,84,Little Saint Nick - 1991 Remix,The Beach Boys
952,84,Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra
953,85,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry
954,83,When It Rains It Pours,Luke Combs
955,89,Not Allowed,TV Girl
956,84,Chamber Of Reflection,Mac DeMarco
957,80,Rudolph the Red-Nosed Reindeer,Gene Autry
958,91,Don’t Blame Me,Taylor Swift
959,86,Paper Rings,Taylor Swift
960,85,The Chain - 2004 Remaster,Fleetwood Mac
961,78,Enter Sandman (Remastered),Metallica
962,82,Robbery,Juice WRLD
963,85,Midnight Rain,Taylor Swift
964,89,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo
965,84,New Romantics (Taylor's Version),Taylor Swift
966,88,Have You Ever Seen The Rain,Creedence Clearwater Revival
967,90,Why'd You Only Call Me When You're High?,Arctic Monkeys
968,80,Merry Christmas Darling - Remix,Carpenters
969,79,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame
970,88,get him back!,Olivia Rodrigo
971,87,Cigarettes out the Window,TV Girl
972,80,Rosyln,Bon Iver
973,83,Set Fire to the Rain,Adele
974,89,we fell in love in october,girl in red
975,82,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott
976,76,older sped up,Isabel LaRosa
977,71,Grey Gods,Ramirez
978,69,Under the Boardwalk,The Drifters
979,77,UK Rap,Dave
980,73,I'm a Slave 4 U,Britney Spears
981,72,The Kid I Used to Know,Arrested Youth
982,67,Unapologetic (with NLE Choppa),Polo G
983,75,All Apologies,Nirvana
984,74,Gët Busy,Yeat
985,0,Underneath the Mistletoe,Sia
986,73,Compré Una Cantina,Cardenales De Nuevo León
987,74,Burn,USHER
988,69,Big Shot Cream Soda,$uicideboy$
989,73,Don't Give Up On Me,Andy Grammer
990,65,Caught Up In You,38 Special
991,74,Red Red Wine,UB40
992,79,UNAVAILABLE (feat. Musa Keys),Davido
993,67,Useless,Omar Apollo
994,75,Rescue,Lauren Daigle
995,76,X ÚLTIMA VEZ,Daddy Yankee
996,64,"Down, Up!",BabyTron
997,68,Hang Me Up To Dry,Cold War Kids
998,70,"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold
999,0,Santa’s Coming for Us,Sia
1000,0,Santa’s Coming for Us,Sia
1001,69,how u feel?,Destroy Lonely
1002,81,Time After Time,Cyndi Lauper
1003,81,TE MUDASTE,Bad Bunny
1004,73,Lights Up,Harry Styles
1005,69,Spin Again,Lil Uzi Vert
1006,6,Santa’s Coming for Us,Sia
1007,0,Santa’s Coming for Us,Sia
1008,0,Santa’s Coming for Us,Sia
1009,0,Under the Milky Way,Sia
1010,4,Santa’s Coming for Us,Sia
1011,5,Santa’s Coming for Us,Sia
1012,0,Santa’s Coming for Us,Sia
1013,0,Under the Milky Way,Sia
1014,1,Santa’s Coming for Us,Sia
1015,3,Santa’s Coming for Us,Sia
1016,0,Santa’s Coming for Us,Sia
1017,66,Pray 4 Us,Trippie Redd
1018,75,Us,James Bay
1019,69,Cheerleader - Felix Jaehn Remix Radio Edit,OMI
1020,67,Commercial (feat. Lil Uzi Vert),Lil Baby
1021,67,Shake The Room (feat. Quavo),Pop Smoke
1022,1,Ele Quer Ser Eu - Ao Vivo,Henrique & Juliano
1023,69,Take Me Where Your Heart Is,Q
1024,77,Halo,Beyoncé
1025,82,Chemtrails Over The Country Club,Lana Del Rey
1026,82,Crawling,Linkin Park
1027,83,ARE WE STILL FRIENDS?,"Tyler, The Creator"
1028,85,Like Crazy (English Version),Jimin
1029,80,Como Pancho Villa,Chino Pacas
1030,87,Primera Cita,Carin Leon
1031,82,Fast Car,Tracy Chapman
1032,77,Flex Up (feat. Future & Playboi Carti),Lil Yachty
1033,77,Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra
1034,86,Fair Trade (with Travis Scott),Drake
1035,84,Careless Whisper,George Michael
1036,86,Sunsetz,Cigarettes After Sex
1037,83,Knife Talk (with 21 Savage ft. Project Pat),Drake
1038,86,Washing Machine Heart,Mitski
1039,84,No Me Conoce - Remix,Jhayco
1040,81,Calling My Phone,Lil Tjay
1041,78,Big Black Car,Gregory Alan Isakov
1042,84,Telephones,Vacations
1043,85,raining for hours,ame
1044,78,Champagne Poetry,Drake
1045,86,Lost,Frank Ocean
1046,86,Best Part (feat. H.E.R.),Daniel Caesar
1047,82,The Kind of Love We Make,Luke Combs
1048,77,Come Get Her,Rae Sremmurd
1049,86,It's Beginning to Look a Lot like Christmas,Michael Bublé
1050,80,When I Come Around,Green Day
1051,0,Christmas Blues,The Weeknd
1052,0,Christmas Blues,The Weeknd
1053,0,Christmas Blues,The Weeknd
1054,78,A Nonsense Christmas,Sabrina Carpenter
1055,81,3005,Childish Gambino
1056,80,Laugh Now Cry Later (feat. Lil Durk),Drake
1057,0,Christmas Blues,The Weeknd
1058,77,Semi-Charmed Life,Third Eye Blind
1059,74,Coal,Tyler Childers
1060,75,Summertime's Close,Zach Bryan
1061,78,Candy Paint,Post Malone
1062,90,EL AMOR DE SU VIDA,Grupo Frontera
1063,75,Crazy,Gnarls Barkley
1064,82,Swimming Pools (Drank),Kendrick Lamar
1065,82,Young Dumb & Broke,Khalid
1066,80,Could've Been (feat. Bryson Tiller),H.E.R.
1067,77,No Flockin',Kodak Black
1068,82,24K Magic,Bruno Mars
1069,77,Russian Cream,Key Glock
1070,75,Fashion Killa,A$AP Rocky
1071,78,XOXO (Kisses Hugs),6arelyhuman
1072,68,KOLÒ,DY ONE
1073,82,Maniac,Conan Gray
1074,77,"Soldier, Poet, King",The Oh Hellos
1075,75,Jukebox Joints (feat. Joe Fox & Kanye West),A$AP Rocky
1076,79,"Everywhere, Everything (with Gracie Abrams)",Noah Kahan
1077,85,Sex on Fire,Kings of Leon
1078,70,Memories (feat. Kid Cudi),David Guetta
1079,81,I Knew You Were Trouble.,Taylor Swift
1080,88,MI EX TENÍA RAZÓN,KAROL G
1081,76,Day 'N' Nite (nightmare),Kid Cudi
1082,75,Love to Keep Me Warm,Laufey
1083,79,Gang Shit No Lame Shit,Key Glock
1084,82,First Class,Jack Harlow
1085,75,The Kind of Love We Make,Luke Combs
1086,75,Karma,Summer Walker
1087,77,Mr. Glock,Key Glock
1088,72,If I Know Me,Morgan Wallen
1089,74,I've Got My Love To Keep Me Warm,Ella Fitzgerald
1090,73,Things A Man Oughta Know,Lainey Wilson
1091,76,Teenage Dream,Katy Perry
1092,80,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
1093,74,I Know,Polo G
1094,77,Northern Attitude,Noah Kahan
1095,78,Coming Undone,Korn
1096,75,I Know Places (Taylor's Version),Taylor Swift
1097,80,Bent,41
1098,90,Reggaeton Champagne,Bellakath
1099,73,KAPITOL DENIM,LUCKI
1100,80,Bloom - Bonus Track,The Paper Kites
1101,75,Poetic Justice,Kendrick Lamar
1102,78,O Come All Ye Faithful,Nat King Cole
1103,75,family ties (with Kendrick Lamar),Baby Keem
1104,70,Cowboy Killer,That Mexican OT
1105,80,Valentine,Laufey
1106,84,Rich Men North of Richmond,Oliver Anthony Music
1107,81,m y . l i f e (with 21 Savage & Morray),J. Cole
1108,80,Man Made A Bar (feat. Eric Church),Morgan Wallen
1109,89,Heartless,Kanye West
1110,88,Young And Beautiful,Lana Del Rey
1111,83,Igualito a Mi Apá,Fuerza Regida
1112,84,Something About You,Eyedress
1113,90,Sure Thing,Miguel
1114,83,Miss Americana & The Heartbreak Prince,Taylor Swift
1115,80,Straight and Narrow,Sam Barber
1116,79,Need A Favor,Jelly Roll
1117,85,Mele Kalikimaka (Merry Christmas),Bing Crosby
1118,97,PERRO NEGRO,Bad Bunny
1119,85,Yeah! (feat. Lil Jon & Ludacris),USHER
1120,79,Forever After All,Luke Combs
1121,90,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift
1122,88,Mi Bello Angel,Natanael Cano
1123,90,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra
1124,90,Sleigh Ride,The Ronettes
1125,78,It's Beginning to Look a Lot like Christmas,Michael Bublé
1126,83,Look At Me!,XXXTENTACION
1127,83,Let Go,Aaron May
1128,87,Evergreen,Richy Mitch & The Coal Miners
1129,86,I Like You (A Happier Song) (with Doja Cat),Post Malone
1130,90,Heat Waves,Glass Animals
1131,86,Africa,TOTO
1132,83,Sun to Me,Zach Bryan
1133,80,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink
1134,83,Tumblr Girls (feat. Christoph Andersson),G-Eazy
1135,77,Fear and Friday's,Zach Bryan
1136,84,Last Night,Morgan Wallen
1137,87,Ella Baila Sola,Eslabon Armado
1138,83,Religiously,Bailey Zimmerman
1139,87,Poco A Poco,Xavi
1140,80,Area Codes,Kaliii
1141,83,Natural,Imagine Dragons
1142,74,How Far I'll Go,Auli'i Cravalho
1143,76,Out Of Love (feat. Internet Money),Lil Tecca
1144,80,HOTEL LOBBY (Unc & Phew),Quavo
1145,81,International Love (feat. Chris Brown),Pitbull
1146,74,I Wish you Roses,Kali Uchis
1147,77,Mess It Up,Gracie Abrams
1148,79,"Shook Ones, Pt. II",Mobb Deep
1149,81,I Feel Like I'm Drowning,Two Feet
1150,76,a m a r i,J. Cole
1151,71,Gotta Have It,JAY-Z
1152,72,I Stand Alone,Godsmack
1153,74,I Serve the Base,Future
1154,77,In For It,Tory Lanez
1155,80,I'm Yours,Jason Mraz
1156,73,Dancing in the Sky,Sam Barber
1157,73,"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000
1158,79,SMOKE IT OFF!,Lumi Athena
1159,71,If I Were the Devil,Colby Acuff
1160,88,There's Nothing Holdin' Me Back,Shawn Mendes
1161,79,Tek It - Sped Up,Cafuné
1162,75,I THINK,"Tyler, The Creator"
1163,82,Dancing In the Dark,Bruce Springsteen
1164,79,Bags,Clairo
1165,82,THATS WHAT I WANT,Lil Nas X
1166,81,Heart-Shaped Box,Nirvana
1167,72,Love It Here,Moneybagg Yo
1168,77,Immortals,Fall Out Boy
1169,79,Issues,Julia Michaels
1170,78,listen before i go,Billie Eilish
1171,78,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay
1172,82,Uptown Girl,Billy Joel
1173,75,Santa Claus Is Back In Town,Elvis Presley
