danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,popularity,song_name,artist_name,genius_id,release_date
0.419,0.274,2,-9.321,1,0.0314,0.862,0.0,0.092,0.25,79.595,audio_features,5ONOlTiqymhzwcFjqcIT6E,spotify:track:5ONOlTiqymhzwcFjqcIT6E,https://api.spotify.com/v1/tracks/5ONOlTiqymhzwcFjqcIT6E,https://api.spotify.com/v1/audio-analysis/5ONOlTiqymhzwcFjqcIT6E,154237,4,['k-pop'],87,Hate You,Jung Kook,9626006,"{'year': 2023, 'month': 11, 'day': 3}"
0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889,audio_features,6NvRxjfYkkT2SpirAlmsjH,spotify:track:6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/tracks/6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/audio-analysis/6NvRxjfYkkT2SpirAlmsjH,278707,4,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",70,No One Knows,Queens of the Stone Age,99654,"{'year': 2002, 'month': 8, 'day': 27}"
0.68,0.618,1,-6.288,1,0.0413,0.000143,0.0,0.231,0.498,139.825,audio_features,04hgBWsBDEyVP8pH0BCZbG,spotify:track:04hgBWsBDEyVP8pH0BCZbG,https://api.spotify.com/v1/tracks/04hgBWsBDEyVP8pH0BCZbG,https://api.spotify.com/v1/audio-analysis/04hgBWsBDEyVP8pH0BCZbG,158515,4,['rage rap'],77,Jennifer’s Body,Ken Carson,9185284,"{'year': 2023, 'month': 10, 'day': 13}"
0.672,0.355,7,-7.645,1,0.06,0.493,3.97e-05,0.156,0.79,141.487,audio_features,7azp0ySqPkkXHi9M9aeg3T,spotify:track:7azp0ySqPkkXHi9M9aeg3T,https://api.spotify.com/v1/tracks/7azp0ySqPkkXHi9M9aeg3T,https://api.spotify.com/v1/audio-analysis/7azp0ySqPkkXHi9M9aeg3T,162333,4,['torch song'],76,(Everybody's Waitin' For) The Man With The Bag,Kay Starr,1959331,"{'year': 1950, 'month': None, 'day': None}"
0.679,0.645,6,-7.777,0,0.222,0.0518,0.0,0.145,0.203,125.795,audio_features,0aMHIW1lqrulVCx0LLlr6a,spotify:track:0aMHIW1lqrulVCx0LLlr6a,https://api.spotify.com/v1/tracks/0aMHIW1lqrulVCx0LLlr6a,https://api.spotify.com/v1/audio-analysis/0aMHIW1lqrulVCx0LLlr6a,307188,4,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",71,Cocoa Butter Kisses,Chance the Rapper,146864,"{'year': 2013, 'month': 4, 'day': 30}"
0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,audio_features,76GlO5H5RT6g7y0gev86Nk,spotify:track:76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/tracks/76GlO5H5RT6g7y0gev86Nk,https://api.spotify.com/v1/audio-analysis/76GlO5H5RT6g7y0gev86Nk,212000,4,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",72,Just like Heaven,The Cure,216032,"{'year': 1987, 'month': 10, 'day': 5}"
0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,audio_features,1zNXF2svmdlNxfS5XeNUgr,spotify:track:1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/tracks/1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/audio-analysis/1zNXF2svmdlNxfS5XeNUgr,186251,4,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",78,Don't Know Why,Norah Jones,189593,"{'year': 2002, 'month': 7, 'day': 1}"
0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,audio_features,2LGdO5MtFdyphi2EihANZG,spotify:track:2LGdO5MtFdyphi2EihANZG,https://api.spotify.com/v1/tracks/2LGdO5MtFdyphi2EihANZG,https://api.spotify.com/v1/audio-analysis/2LGdO5MtFdyphi2EihANZG,257563,4,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",78,Knee Socks,Arctic Monkeys,213246,"{'year': 2013, 'month': 9, 'day': 6}"
0.531,0.747,0,-3.717,1,0.0946,0.0549,0.0,0.244,0.434,148.039,audio_features,68gQG2HpRMxIRom4pCugMq,spotify:track:68gQG2HpRMxIRom4pCugMq,https://api.spotify.com/v1/tracks/68gQG2HpRMxIRom4pCugMq,https://api.spotify.com/v1/audio-analysis/68gQG2HpRMxIRom4pCugMq,214800,4,"['k-pop', 'k-pop girl group']",74,Chill Kill,Red Velvet,9654750,"{'year': 2023, 'month': 11, 'day': 13}"
0.786,0.475,1,-10.902,1,0.248,0.0919,9.6e-06,0.176,0.264,135.0,audio_features,2WrldKXSBVbNNm3A9vJryi,spotify:track:2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/tracks/2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/audio-analysis/2WrldKXSBVbNNm3A9vJryi,227556,4,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",74,Dance Now (feat. Kenny Mason),JID,8081993,"{'year': 2022, 'month': 8, 'day': 9}"
