lyric,tags,tier
"<p>1. 21 Savage &amp; Metro Boomin - Glock In My Lap<br>
2. Offset &amp; Metro Boomin - Ric Flair Drip<br>
3. Metro Boomin - Space Cadet (feat. Gunna)<br>
4. Metro Boomin - Creepin (feat. The Weeknd &amp; 21 Savage)<br>
5. 21 Savage &amp; Metro Boomin - Runnin<br>
6. 21 Savage &amp; Metro Boomin - No Heart<br>
7. Metro Boomin - 10 Freaky Girls (feat. 21 Savage)<br>
8. Metro Boomin - Superhero (Heroes &amp; Villains) [feat. Future &amp; Chris Brown]<br>
9. 21 Savage &amp; Metro Boomin - Rich Nigga Shit (feat. Young Thug)<br>
10. 21 Savage &amp; Metro Boomin - My Choppa Hate Niggas<br>
Metro Boomin - Overdue (feat. Travis Scott)<br>
11. Metro Boomin - Niagara Falls (Foot or 2) [feat. Travis Scott &amp; 21 Savage]<br>
12. 21 Savage &amp; Metro Boomin - Mr. Right Now (feat. Drake)<br>
13. 21 Savage &amp; Metro Boomin - X (feat. Future)<br>
14. Metro Boomin - Don't Come Out The House (feat. 21 Savage)<br>
15. Metro Boomin - Raindrops (Insane) [feat. Travis Scott]<br>
16. 21 Savage &amp; Metro Boomin - RIP Luv<br>
17. 21 Savage, Offset &amp; Metro Boomin - Ghostface Killers (feat. Travis Scott)<br>
18. James Blake - Mile High (feat. Travis Scott &amp; Metro Boomin)<br>
19. Metro Boomin - Too Many Nights (feat. Don Tolive &amp; Future)<br>
20. 21 Savage &amp; Metro Boomin - Many Men<br>
21. NAV &amp; Metro Boomin - Call Me<br>
22. Metro Boomin - Dreamcatcher (feat. Swae Lee &amp; Travis Scott)<br>
23. Metro Boomin - Umbrella (feat. 21 Savage &amp; Young Nudy)<br>
24. 21 Savage, Offset &amp; Metro Boomin - Rap Saved Me (feat. Quavo)<br>
25. NAV &amp; Metro Boomin - Held Me Down<br>
26. Metro Boomin - Only 1 (Interlude) [feat. Travis Scott]<br>
27. 21 Savage &amp; Metro Boomin - Ocean Drive<br>
28. 21 Savage, Offset &amp; Metro Boomin - Disrespectful<br>
29. NAV &amp; Metro Boomin - Minute (feat. Playboi Carti &amp; Offset)<br>
30. 21 Savage &amp; Metro Boomin - No Advance<br>
31. 21 Savage, Offset &amp; Metro Boomin - Mad Stalkers<br>
32. 21 Savage &amp; Metro Boomin - Savage Mode<br>
30. NAV &amp; Metro Boomin - Perfect Timing (Intro)</p>

",rap,E
"<p><a href=""/1552138/Louis-armstrong-what-a-wonderful-world/Verse-1"" data-id=""1552138"" data-editorial-state=""accepted"" data-classification=""accepted"">[Verse 1]</a><br>
<a href=""/1552162/Louis-armstrong-what-a-wonderful-world/I-see-trees-of-green-red-roses-too-i-see-them-bloom-for-me-and-you"" data-id=""1552162"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">I see trees of green, red roses too<br>
I see them bloom for me and you</a><br>
<a href=""/1552178/Louis-armstrong-what-a-wonderful-world/And-i-think-to-myself-what-a-wonderful-world"" data-id=""1552178"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">And I think to myself<br>
What a wonderful world</a><br>
<br>
[Verse 2]<br>
<a href=""/1552180/Louis-armstrong-what-a-wonderful-world/I-see-skies-of-blue-and-clouds-of-white-the-bright-blessed-days-the-dark-sacred-nights"" data-id=""1552180"" data-editorial-state=""accepted"" data-classification=""accepted"">I see skies of blue and clouds of white<br>
The bright blessed days, the dark sacred nights</a><br>
<a href=""/1552178/Louis-armstrong-what-a-wonderful-world/And-i-think-to-myself-what-a-wonderful-world"" data-id=""1552178"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">And I think to myself<br>
What a wonderful world</a><br>
<br>
[Bridge]<br>
<a href=""/1552219/Louis-armstrong-what-a-wonderful-world/The-colors-of-the-rainbow-so-pretty-in-the-sky"" data-id=""1552219"" class=""has_comments has_pending_edits"" data-editorial-state=""accepted"" data-classification=""accepted"">The colors of the rainbow<br>
So pretty in the sky</a><br>
<a href=""/1552194/Louis-armstrong-what-a-wonderful-world/Are-also-on-the-faces-of-people-going-by"" data-id=""1552194"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">Are also on the faces<br>
Of people going by</a><br>
I see friends shaking hands, saying, ""How do you do?""<br>
They're really saying, ""I love you""<br>
<br>
[Verse 3]<br>
<a href=""/1552151/Louis-armstrong-what-a-wonderful-world/I-hear-babies-cry-i-watch-them-grow-theyll-learn-much-more-than-ill-ever-know"" data-id=""1552151"" data-editorial-state=""accepted"" data-classification=""accepted"">I hear babies cry, I watch them grow<br>
They'll learn much more<br>
Than I'll ever know</a><br>
<a href=""/1552178/Louis-armstrong-what-a-wonderful-world/And-i-think-to-myself-what-a-wonderful-world"" data-id=""1552178"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">And I think to myself<br>
What a wonderful world<br>
Yes, I think to myself<br>
What a wonderful world</a><br>
<br>
<a href=""/4755189/Louis-armstrong-what-a-wonderful-world/Written-by-bob-thiele-and-george-weiss"" data-id=""4755189"" data-editorial-state=""accepted"" data-classification=""accepted"">[Written by Bob Thiele and George Weiss]</a></p>

",r-b,D
"<p>[Verse 1]<br>
<a href=""/3929042/4-non-blondes-whats-up/25-years-and-my-life-is-still-tryin-to-get-up-that-great-big-hill-of-hope-for-a-destination"" data-id=""3929042"" class=""has_comments has_pending_edits"" data-editorial-state=""accepted"" data-classification=""accepted"">25 years and my life is still<br>
Tryin' to get up that great big hill of hope<br>
For a destination</a><br>
<a href=""/3927053/4-non-blondes-whats-up/I-realized-quickly-when-i-knew-i-should-that-the-world-was-made-up-of-this-brotherhood-of-man"" data-id=""3927053"" data-editorial-state=""accepted"" data-classification=""accepted"">I realized quickly when I knew I should<br>
That the world was made up of this brotherhood of man</a><br>
<a href=""/3929047/4-non-blondes-whats-up/For-whatever-that-means"" data-id=""3929047"" data-editorial-state=""accepted"" data-classification=""accepted"">For whatever that means</a><br>
<br>
[Pre-Chorus]<br>
And so I cry sometimes when I'm lying in bed<br>
Just to get it all out what's in my head<br>
And I, I am feeling a little peculiar<br>
<a href=""/4416366/4-non-blondes-whats-up/And-so-i-wake-in-the-morning-and-i-step-outside-and-i-take-a-deep-breath-and-i-get-real-high-and-i-scream-from-the-top-of-my-lungs-whats-going-on"" data-id=""4416366"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">And so I wake in the morning and I step outside<br>
And I take a deep breath and I get real high<br>
And I scream from the top of my lungs<br>
""What's going on?""</a><br>
<br>
[Chorus]<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">And I say, hey-ey-ey<br>
Hey-ey-ey<br>
I said ""Hey, a-what's going on?""<br>
And I say, hey-ey-ey<br>
Hey-ey-ey<br>
I said ""Hey, a-what's going on?""</a><br>
<br>
[Bridge]<br>
Ooh, ooh<br>
Ooh<br>
Ooh, uh huh<br>
Ooh, ooh<br>
Ooh<br>
Ooh, uh huh<br>
<br>
[Verse 2]<br>
<a href=""/5036363/4-non-blondes-whats-up/And-i-try-oh-my-god-do-i-try-i-try-all-the-time-in-this-institution"" data-id=""5036363"" class=""has_comments has_pending_edits"" data-editorial-state=""accepted"" data-classification=""accepted"">And I try<br>
Oh my God, do I try<br>
I try all the time<br>
In this institution</a><br>
<a href=""/3927060/4-non-blondes-whats-up/And-i-pray-oh-my-god-do-i-pray-i-pray-every-single-day-for-revolution"" data-id=""3927060"" data-editorial-state=""accepted"" data-classification=""accepted"">And I pray<br>
Oh my God, do I pray<br>
I pray every single day<br>
For revolution</a><br>
<br>
[Pre-Chorus]<br>
And so I cry sometimes when I'm lying in bed<br>
Just to get it all out, what's in my head<br>
And I, I am feeling a little peculiar<br>
<a href=""/4416366/4-non-blondes-whats-up/And-so-i-wake-in-the-morning-and-i-step-outside-and-i-take-a-deep-breath-and-i-get-real-high-and-i-scream-from-the-top-of-my-lungs-whats-going-on"" data-id=""4416366"" class=""has_comments"" data-editorial-state=""accepted"" data-classification=""accepted"">And so I wake in the morning and I step outside<br>
And I take a deep breath and I get real high<br>
And I scream from the top of my lungs<br>
""What's going on?""</a><br>
<br>
[Chorus]<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">And I say, hey-ey-ey<br>
Hey-ey-ey<br>
I said ""Hey, what's going on?""<br>
And I say, hey-ey-ey<br>
Hey-ey-ey<br>
I said ""Hey, a-what's going on?""<br>
And I say, hey-ey-ey</a><br>
(Wake in the morning and step outside)<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">Hey-ey-ey</a><br>
(Take a deep breath and I get real high)<br>
(And I scream)<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">I said ""Hey, a-what's going on?""<br>
And I say, hey-ey-ey</a><br>
(Wake in the morning and step outside)<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">Hey-ey, yeah yeah yeah</a><br>
(Take a deep breath and I get real high)<br>
(And I scream)<br>
<a href=""/4541074/4-non-blondes-whats-up/And-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on-and-i-say-hey-ey-ey-hey-ey-ey-i-said-hey-a-whats-going-on"" data-id=""4541074"" data-editorial-state=""accepted"" data-classification=""accepted"">I said ""Hey, a-what's going on?""</a><br>
<br>
[Bridge]<br>
Ooh, ooh<br>
Ooh<br>
Ooh, uh huh<br>
<br>
[Outro]<br>
<a href=""/3929042/4-non-blondes-whats-up/25-years-and-my-life-is-still-tryin-to-get-up-that-great-big-hill-of-hope-for-a-destination"" data-id=""3929042"" class=""has_comments has_pending_edits"" data-editorial-state=""accepted"" data-classification=""accepted"">25 years and my life is still<br>
Tryin' to get up that great big hill of hope<br>
For a destination, mmm</a></p>

",rock,B
"<p>[Verse 1]<br>
<a href=""/24827140/The-weeknd-is-there-someone-else/I-know-that-youre-hiding-something-from-me-thats-been-close-to-your-heart"" data-id=""24827140"" class=""has_comments"" data-editorial-state=""pending"" data-classification=""unreviewed"">I know that you're hiding something from me<br>
That's been close to your heart</a><br>
<a href=""/28065163/The-weeknd-is-there-someone-else/And-i-felt-it-creepin-up-every-day-baby-right-from-the-start"" data-id=""28065163"" class=""has_pending_edits"" data-editorial-state=""pending"" data-classification=""unreviewed"">And I felt it creepin' up every day<br>
Baby, right from the start</a><br>
<a href=""/24874767/The-weeknd-is-there-someone-else/I-know-that-look-you-give-when-were-fighting-fighting-were-fighting-fighting"" data-id=""24874767"" class=""has_comments"" data-editorial-state=""pending"" data-classification=""unreviewed"">I know that look you give when we're fighting (Fighting)<br>
We're fighting (Fighting)</a><br>
<a href=""/24820284/The-weeknd-is-there-someone-else/Cause-i-used-to-be-the-one-who-was-lying-lying-oh-lying-lying"" data-id=""24820284"" class=""has_comments"" data-editorial-state=""pending"" data-classification=""unreviewed"">'Cause I used to be the one who was lying (Lying)<br>
Oh, lying (Lying)</a><br>
<br>
[Chorus]<br>
<a href=""/24827204/The-weeknd-is-there-someone-else/Oh-is-there-someone-else-or-not"" data-id=""24827204"" class=""has_comments"" data-editorial-state=""pending"" data-classification=""unreviewed"">Oh, is there someone else or not?</a><br>
<a href=""/25012823/The-weeknd-is-there-someone-else/Cause-i-wanna-keep-you-close-i-dont-wanna-lose-my-spot"" data-id=""25012823"" data-editorial-state=""pending"" data-classification=""unreviewed"">'Cause I wanna keep you close<br>
I don't wanna lose my spot</a><br>
'Cause I need to know<br>
<a href=""/24820624/The-weeknd-is-there-someone-else/If-youre-hurting-him-or-youre-hurting-me-if-i-aint-with-you-i-dont-wanna-be"" data-id=""24820624"" class=""has_comments"" data-editorial-state=""pending"" data-classification=""unreviewed"">If you're hurting him, or you're hurting me<br>
If I ain't with you, I don't wanna be</a><br>
Is there someone else or not?<br>
Ooh, or not?<br>
<br>
[Verse 2]<br>
<a href=""/24827225/The-weeknd-is-there-someone-else/I-dont-deserve-someone-loyal-to-me-dont-you-think-i-see"" data-id=""24827225"" data-editorial-state=""pending"" data-classification=""unreviewed"">I don't deservе someone loyal to me<br>
Don't you think I see?</a><br>
<a href=""/24819819/The-weeknd-is-there-someone-else/And-i-dont-want-to-be-a-prisoner-to-who-i-used-to-be"" data-id=""24819819"" data-editorial-state=""pending"" data-classification=""unreviewed"">And I don't want to bе a prisoner to who I used to be</a><br>
<a href=""/24820373/The-weeknd-is-there-someone-else/I-swear-i-changed-my-ways-for-the-better-the-better-cause-i-wanna-be-with-you-forever-forever"" data-id=""24820373"" data-editorial-state=""pending"" data-classification=""unreviewed"">I swear I changed my ways for the better, the better<br>
'Cause I wanna be with you forever, forever</a><br>
<br>
[Chorus]<br>
<a href=""/28881472/The-weeknd-is-there-someone-else/Oh-is-there-someone-else-or-not"" data-id=""28881472"" data-editorial-state=""pending"" data-classification=""unreviewed"">Oh, is there someone else or not?</a><br>
<a href=""/28881477/The-weeknd-is-there-someone-else/Cause-i-wanna-keep-you-close-i-dont-wanna-lose-my-spot"" data-id=""28881477"" data-editorial-state=""pending"" data-classification=""unreviewed"">'Cause I wanna keep you close<br>
I don't wanna lose my spot</a><br>
'Cause I need to know<br>
<a href=""/28881481/The-weeknd-is-there-someone-else/If-youre-hurting-him-or-youre-hurting-me-if-i-aint-with-you-i-dont-wanna-be"" data-id=""28881481"" data-editorial-state=""pending"" data-classification=""unreviewed"">If you're hurting him, or you're hurting me<br>
If I ain't with you, I don't wanna be</a><br>
Is there someone else or not?<br>
Ooh, or <a href=""/28881482/The-weeknd-is-there-someone-else/Not"" data-id=""28881482"" data-editorial-state=""pending"" data-classification=""unreviewed"">not?</a></p>

",pop,D
